Student,LPIPS,SSIM
112598083.png,0.0,1.0
112598071.png,0.38521167635917664,0.6588474365400916
109590057.png,0.4219634532928467,0.658368784934018
112598075.png,0.42661964893341064,0.5413634559273202
109590052.png,0.4280990958213806,0.6496401745181297
110590029.png,0.4331272542476654,0.6753553420537747
109590015.png,0.44948840141296387,0.6357097580767269
112598048.png,0.47405970096588135,0.6093748074959959
